"Kategori","Pesan","BERT_Score","ROUGE_L"
"spam","Simcard Anda menerima bonus poin plus-plus 555 dari PT.INDOSAT, PIN Anda 277fg49.",0.7532,0.5455
"spam","Simcard Anda mendapatkan bonus poin plus-plus 555 dari PT.INDOSAT dengan PIN 277fg49, untuk info lebih lanjut klik di www.indosat-555.blogspot.com atau hubungi 021-3338-0074.",0.655,0.1224
"spam","Tingkatkan nilai isi ulang Rp10ribu untuk dapatkan Paket MURAH PAS dan informasi dapat di-cek di *100*999# 188.",0.6103,0.0889
"spam","Tingkatkan nilai isi ulang minimal Rp10ribu untuk mendapatkan Paket MURAH PAS dengan kode *100*999# dan dapatkan informasi lebih lanjut melalui nomor 188.",0.5974,0.0
"spam","Uang RASTINA di transfer ke BNI, no. rek. 0253 7915 37, setelah itu SMS ke no. 085293355598 untuk konfirmasi.",0.6792,0.0455
"spam","Uangnya di transfer ke BNI rekening 0253 7915 37 dan jika sudah diteruskan, hanya SMS balasan ke nomor 085293355598.",0.5932,0.1224
"spam","Selamat, NO Simcard Anda menerima hadiah cek sebesar Rp 35 juta dengan pin 7Y7R8K9Z dan dapat dipertanyakan pada www.id-tricare2016.blogspot.com.",0.6363,0.0
"spam","Selamat, Anda telah mendapatkan hadiah cek sebesar Rp 35 juta dari TRI CARE, dengan PIN 7Y7R8K9Z.",0.6679,0.2727
"spam","RUDI from Jambi claims to have won 4D 50jt and guarantees to help fellow losers beat the bookie by contacting mbah ROS on 082325557768.",0.584,0.0
"spam","Rudi from Jambi claims to have a reliable method to defeat lottery bookies by contacting mbah Ros on 082325557768, assuring that it works, as he has already proven it with a 50-juta win.",0.579,0.0
"spam","Pengguna Tri dapat berbagi bonus pulsa 10rb dengan isi pulsa minimal 5rb hanya di hari ini.",0.6018,0.0
"spam","Bonus pulsa sebesar 10rb diberikan untuk setiap isi pulsa minimal 5rb hanya di bulan pernuh berkah, tapi hanya untuk hari ini saja.",0.6076,0.0
"spam","Syarat uang kontrakan harus diselesaikan dengan Bpk. Suyono melalui nomor HP 082127377377.",0.5997,0.0
"spam","Berikan kuasa penuh kepada Bpk Suyono dan hubungi nomor HP 082127377377 jika mau teruskan uang kontrakan.",0.6582,0.0
"spam","Anda diberikan hadiah cek tunai Rp 45 jt, no. pemenang: 67ytg44, silakan kunjungi www.id.tri.webnode.com.",0.6315,0.0
"spam","Anda dinyatakan sebagai pemenang dengan kode ANDA 67ytg44 dan menerima hadiah cek tunai sebesar Rp 45 juta.",0.6172,0.0
"spam","Indosat claims to have contacted your number but couldn't connect, then sent an SMS saying your number is eligible for a Jaguar car and asking for info at www.kejutanindosat-plusplus.weebly.com.",0.6028,0.069
"spam","INDOSAT has your number but cannot connect, so we're sending this SMS about receiving a Jaguar car with PIN d377hi8, for more info visit www.kejutanindosat-plusplus.weebly.com",0.6017,0.125
"spam","No Simcard Anda menerima hadiah cek sebesar Rp.100 juta dari TRI CARE dengan PIN 7Y7R8K9Z dan informasi lebih lanjut pada www.gebyar3care15.blogspot.com.",0.6373,0.0
"spam","Simcard Anda menerima hadiah cek sebesar Rp.100juta dari TRI CARE dengan PIN 7Y7R8K9Z.",0.6093,0.0465
