"Kategori","Pesan"
"ham","Iya ih ko sedih sih gtau kapan lg ke bandung :("
"ham","Kalau mau bikin model/controller mending per apa y?"
"ham","Selamat nama1. Semoga selalu menempuh hidup yang bahagia dan selalu menyenangkan"
"ham","silahkan berkas dambil di ruang saya"
"ham","Selamat ulang tahun semoga panjang umur dan sehat selalu"
"ham","Kartu SIM Anda telah berhasil diganti. Terima kasih"
"ham","nama1 dmna ? boleh mnta tolong ss dong bisns proses nya,,,,,"
"ham","Terimakasih. Paket 60 mb Anda telah aktif. Cek bonus *889#. Katalog Poin lengkap tsel.me/telkomselpoin. S&K berlaku"
"ham",".sambl nunggu itu.. Gimana kalo ngerjain form formnya aja dulu"
"ham","Nomor OTP anda adalah [8874] -Telkomsel-"
"ham","Aku mau nyari data yang dibutuhin dari tabel mana aja."
"ham","Assalamualaikum Pak. Ini dg nama1 ilkom 2012. Maaf Pak td saya ninggalin proposal di meja Bapak di atas printer. Terima kasih Pak."
"ham","Yooo sama2, oke nanti aku umumin di grup kelas"
"ham","udah di benerin, kamu jangan sync dulu. backup filenya baru sync terus push dengan file kamu."
"ham","Ga ada birthday nya? Wkwk"
"ham","Jauh amat jemput di poskamling cilimus dee"
"ham","[Akademik] Untuk perhatian tuk jadwal kontrak kuliah buat ang 2012 itu bukan sebenarny, kuliah ikut jadwal kur yg baru ang 2013 ato keatas 2014,2015,2016.. sehingga jadwal yg ada adalah jadwal bayangan tuk tujuan kontrak kuliah..Hal diatas ga berlaku tuk mk yg memang berjalan di ang kalian spt skripsi dan sidang..demikian harap diperhatikan.."
"ham","Bu maaf saya lupa sekarang hari jumat ya...kalau jumat kita buka jam 1 bu...mau solat jumat dulu...maaf di dari upi ya"
"ham","Ini hujan semalaman ruang tengah sama kamar kayanya gabisa di nyalain (:() harus nunggu kering baru bisa nyala, smg ujannya berenti 🙏"
"ham","Nikah juga proses put, kadang diatas, kadang dibawah, gak selalu enak enak wkwkwkwk"
"ham","Jam 8 berangkat aja gmn teh"
"ham","Kalo pake daging yg dah direbus enak gak dijadiin sate?"
"ham","Pas sma gak pernah, tp kuliah disini org tua aku udah 2x pulang kampung"
"ham","Oke deh aku jg emang pengen ngumpul sih kapan lg :("
"ham","Jgn lupa malam ini jgn terlalu malam aja. Seadanya aja aku jg"
"ham","Pada ga aktif si tombol algoritma2 nya teh ga ngerti"
"ham","nama1 itu msh pake db aku yg lama itu msh anomali bisa nyesuain ga"
"ham","Gimana nuy menghadapi beliau?"
"ham","Hmm sebenernya itu cuman eksekusi jquery di control sep. Coba cek jquery yg dicotroller waktu klik button. Kan ke controller yg buat nyetak pdf"
"ham","Masak dikosan aku mau makan orek buatan kamu min"
"ham","Sama ingetin ya, ini kan web nya mau di publish, kita kan ikut develop tuh, nah di web nya ada nama kita atau jurusan ga?"
"ham","Mul snack satu lagi teteh kasih rafael ya"
"ham","Struktur Data, PLA, Skripsi, dan Sidang"
"ham","Saya buat banyak seri untuk PG, oleh karena itu jangan terlalu berharap bisa lihat punya teman (mungkin ini penyebab nilai PG jeblok kemarin?), waktunya akan terbatas dan ruangannya kita pake yg besar."
"ham","Baik Pak, bsk sekalian kami bawa form penilaian ya Pak, dan berkas lainnya."
"ham","Iya kan file terkahir itu data_pasien. -_-"
"ham","nama1 bisa pakai flash buat animasi ga?? Atau pakai movie maker??"
"ham","Ada diruangan nya tadi"
"ham","Kalo grup c1 aku jarang baca haha jd suka ketinggalan kabar berita"
"ham","Boleh bu, kalau ada yang bakal pindah bulan itu. Kalau tidak keberatan bisa kabarin Bu. Terima kasih."
"ham","Cukup alquran sbgai pedoman bagi org2 yg beriman."
"ham","Murah nuy 30seorang, drpd naik angkot bisa 15rebu, belum ngetem, macet, gt"
"ham","Tp aku gak tertarik gt sih diperusahaan itu, org it nya baru satu "
"ham","Wihh nyimper kopernya dmn? Motor gigi kan?"
"ham","Besok dwm jadi ya praktikum weka. Bawa laptop."
"ham","Gais aku sudah brgkt. Mau matiin hp"
"ham","Pagi bu saya dengan nama1 dari Bebek Komar ...sangat bisa bu untuk pesanan besok bu...menu yang di pesan apa ya bu...diantar ke mana ya...nuhun"
"ham","Memperbaiki bug2 karna ganti db bbrp. Lg enak nonton td ditelfon 😂"
"ham","Selamat sore Pak, besok kami bisa ke kantor jam brp Pak?"
"ham","Gaaais penamaannya kyk nama1 nih biar rapih"
"ham","Jumlah poin Anda s.d tgl 16/08/16 : 18 poin. Anda termasuk dalam kategori RED. Masa berlaku poin s.d 31 Des 2016"
"ham","Oh oke de. kalau selanjutnya isi deposit transfer kmn?"
