"Kategori","Pesan"
"spam","INFO RESMI: SIM Card Anda terpilih mendapatkan Bonus Poin Plus-Plus 555 dari PT.INDOSAT! PIN Anda: 277fg49. Verifikasi di www.indosat-555.blogspot.com atau Hub: 021-3338-0074."
"spam","INFO RESMI: Simcard Anda menerima bonus poin 555 dari PT.INDOSAT, pin Anda: 277fg49. Verifikasi di www.indosat-555.blogspot.com atau Hubungi: 021-3338-0074."
"spam","Tingkatkan isi ulang minimal Rp10ribu untuk mendapatkan Paket MURAH PAS di *100*999#. Info 188."
"spam","Tingkatkan nilai isi ulang Anda Rp10 Juta minimal untuk mendapatkan Paket MURAH PAS di *100*999#; Info 188."
"spam","INFO RESMI: Uang Anda di Transfer ke BNI, No. REK. 0253 7915 37. Tekankan SMS ke no. 085293355598 jika sudah di Transfer."
"spam","INFO RESMI: Uang Anda diTransfer ke BNI No. REK. 0253 7915 37. Jika sudah diTransfer, SMSkan ke no. 085293355598. Terima kasih."
"spam","INFO RESMI: No. Simcard Anda terpilih sebagai pemenang hadiah cek Rp 35 Juta! Cek detail di link www.id-tricare2016.blogspot.com."
"spam","INFO RESMI: No Simcard Anda terpilih untuk hadiah cek sebesar Rp 35 Juta! Pin: 7Y7R8K9Z, info keik: www.id-tricare2016.blogspot.com"
"spam","INFO RESMI: RUDI, jambi, berbagi pengalaman, tips, dan jaringan kemenangan Togel, kontak mbah ROS 082325557768."
"spam","Saya RUDI, saya kalah Togel sebelumnya, kini saya beruntung dengan mendapat 50jt di 4D."
"spam","INFO RESMI: Anda berkesempatan rai bonus pulsa 10rb utk nelp ke nmr Tri! Isi pulsa min. 5rb, Hanya hari ini!"
"spam","INFO RESMI: Dapatkan bonus pulsa 10rb dengan isi pulsa min. 5rb untuk berbagi ke nomor Tri! Hanya hari ini!"
"spam","INFO RESMI: Mengenai Uang kontrakan, Harap hubungi Bpk Suyono, 0821-2737-773."
"spam","INFO RESMI: Anda masih mau menguruskan uang kontrakan? Hubungi Bpk. Suyono di 082127377377, penting."
"spam","INFO RESMI: Anda dinyatakan pemenang hadiah cek tunai Rp 45 Juta! Lengkapi verifikasi di www.id.tri.webnode.com."
"spam","INFO RESMI: Anda Pemenang Cek Tunai Rp 45 Juta! Verifikasi di www.id.tri.webnode.com."
"spam","INFO RESMI: Anda telah dihubungi oleh Ktr INDOSAT! Anda memenangkan mobil JAGUAR! Sgr verifikasi di www.kejutanindosat-plusplus.weebly.com."
"spam","INFO RESMI: Kami dari Ktr INDOSAT meminta informasi tambahan tentang Anda, terkait dengan pengiriman mobil JAGUAR PIN. Info lebih lanjut di www.kejutanindosat-plusplus.weebly.com."
"spam","INFO RESMI: No Simcard Anda terpilih menerima Hadiah Cek Rp.100juta dari TRI CARE! Pin: 7Y7R8K9Z Info Kelik: www.gebyar3care15.blogspot.com"
"spam","INFO RESMI: Simcard Anda terpilih menerima hadiah Cek Rp.100 Juta dari TRI CARE! Pin: 7Y7R8K9Z, Info Kelik: www.gebyar3care15.blogspot.com"
"spam","INFO RESMI: Anda sebagai Pelanggan setia m-tronik terpilih sebagai pemenang ke-2, pin pemenang [25e477r] u/info klik www.gebyarhadiah2016.com"
"spam","INFO RESMI: Anda sebagai Pelanggan setia M-tronik terpilih sebagai pemenang ke-2, silakan verifikasi di www.gebyarhadiah2016.com."
"spam","INFO RESMI: Anda Terpilih Menerima Hadiah Rp. 75 Juta! Segera Verifikasi di Pusat Komunikasi."
"spam","INFO RESMI: Anda terpilih menerima hadiah Rp. 75 Juta! Segera verifikasi di Edisi September TELKOMSEL point."
"spam","INFO PROMO: Blackberry BB Dakota: Rp 2 Juta, Torch: Rp 1.5 Juta, Davis: Rp 1.3 Juta, Orlando: Rp 1.8 Juta, Gemini: Rp 950 Ribu! Berminat, hubungi 085715186696 (PROMO terbatas)"
"spam","PROMO BB: Dakota 2jt, Torch 1.5jt, Davis 1.3jt, Orlando 1.8jt, Gemini 950rb! Berminat : 085715186696"
"spam","INFO RESMI: Pinjaman Rp 1 Milyard dengan jaminan BPKB mobil/truck minimal 1998. Bunga 0,8%. Syarat mudah. Proses 1 hari, PT. Bunas Finance Tbk (wilayah Indonesia) - Andi 081330134449."
"spam","INFO RESMI: Pinjaman Rp 1 Miliar! Jaminan BPKB Mobil/Truck (minimal 1998). Bunga 0,8%. Syarat Mudah. Proses 1 Hari. Hubungi 081330134449."
"spam","Contoh 1: PIN Anda terpilih untuk mdptkan Rp 10 Juta! Segera verifikasi di link ini.  Contoh 2: Isikan pulsa 50rb ke nomor baru mama ini skrg, penting.  Contoh 3: Info paket menarik AXIS: 2GB 60hr Rp28800 akan segera aktif. Cari penawaran lain, telp *123#.Info 838"
"spam","INFO RESMI: PAKET BRONET 24 Jam, 2GB, 60 hr, dan harga Rp28800. Temukan penawaran menarik AXIS lainnya, coba *123#. Info: 838."
"spam","INFO EXCLUSIVE: Grab 6 FREE Donuts from DUNKIN DONUTS & SETIABUDHI! Redeem this SMS soon. Limited to today. Available while supplies last. Use code *606#."
"spam","INFO RESMI: Nikmati Donut Gratis 6, beli 1 dari DUNKIN DONUTS BORMA SETIABUDHI. Tukarkan SMS ini, promo *606#, hanya untuk hari ini, sementara persediaan masih ada."
"spam","INFO RESMI: Anda menangkan hadiah Toyota Avanza, dari Telkomsel poin! Info lebih lengkap di: http://gebyartelkomsel.juplo.com (akan di-cek)"
"spam","INFO RESMI: Anda terpilih mendapatkan Hadiah TOYOTA ALL New AVANZA, Anda dapatkan informasi lebih lengkap di: http;//gebyartelkomsel.juplo.com"
"spam","INFO RESMI: Anda terpilih untuk JobFairActive & UjiKlyakanKerjaBerstifikat! Dapatkan platihan Intrview&Rekom kerja ke ribuan Ph. Info: www.indogetjob.com/085233334106"
"spam","INFO RESMI: Ikuti JobFairActive & UjiKlyakanKerjaBerstifikat @PlasaTelkomMlg 9Feb13! Dapatkan platihan Interview & Rekom kerja ke ribuan Ph. Info: www.indogetjob.com/085233334106"
"spam","Tolong isikan pulsa 20rb ke nomor baru 085337784732 skrg, penting."
"spam","Tolong isikan pulsa 20 rb ke nomor baru 085337784732 skrg, penting."
"spam","Teks Baru: Cek Extra Pulsa TSEL 50rb dg Beli Paket Internet Pertama di My Telkomsel App sejak 25 Agustus-25 September, lihat detail di tsel.me/mytsel1."
"spam","INFO RESMI: Dapatkan EXTRA PULSA TSEL 50rb dengan beli paket internet pertama kali di My Telkomsel App dari 25 Agustus - 25 September. Cek detail paketnya di tsel.me/mytsel1"
"spam","INFO: Beli BB Z10 41% off! Rp 3jt, BB Torch Rp 2jt, BB Davis Rp 1jt. Klik Galaxy S4 Rp 3.5jt. Hubungi 08994352577 dan gunakan PIN 25A1785B. Demo Gili-SMS: www/yusiwa.com"
"spam","INFO RESMI: 41% Diskon BB! Z10 3jt, Torch 2jt, Davis 1jt Minat? S4 3,5jt. Cp. 08994352577. Pin. 25A1785B. Gili-SMS versi Demo. Http://www/yusiwa.com"
"spam","INFO RESMI: Anda sudah terhubungi, namun SIM CARD Anda tidak tersambung! Hadiah ketiga dari PT.AXIS, Anda dapat memverifikasi melalui link www.hadiah-ptaxis.blogspot.co.id dan pin [02399877]."
"spam","INFO RESMI: PIN Anda terpilih mendapatkan hadiah ketiga dari PT. AXIS! Sgr verifikasi di www.hadiah-ptaxis.blogspot.co.id"
"spam","INFO RESMI: Nikmati BONUS 10GB (4G), Unlimited Data & SMS, serta Musik Streaming tanpa Kuota dengan Paket FREEDOM COMBO! Daftar*123#"
"spam","INFO RESMI: Kami tawarkan Kombinasi Kebebasan yang menawarkan 10GB 4G, penggunaan tak terbatas untuk Nelpon, SMS, dan Streaming Musik! Daftar sekarang melalui *123#"
"spam","Tolong isi 10rb pulsa di 082189983017, saya yang akan membalas."
"spam","Tolong isi 10rb pulsa ke nomor 082189983017, nanti saya yang akan menghubungi."
"spam","INFO DETAIL: Paket Tsel Flash akan berakhir tanggal 07/08/2016. Diperpanjang 10 MB 1 hari dengan harga 2500, bergantung lokasi Anda. Pastikan pulsa Anda mencukupi. Untuk berhenti, ketik FLASH OFF ke 3636. Informasi tarif lengkap di Tsel.me/internet."
